Description,Rank 3 Months to 7 Mar 2026,Rank YoY Change,Median Salary,Median Salary YoY Change,Live Jobs,Historical Absolute & Relative Jobs Vacancies_absolute,Historical Absolute & Relative Jobs Vacancies_relative,period,date_scraped,source_url,page,Rank 6 Months to 7 Mar 2026
Azure,5,+1,"£64,500",-0.76%,"3,253","4,990",12.37%,3mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Cybersecurity,6,+32,"£57,239",-6.54%,"1,632","4,470",11.08%,3mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
AI,7,+27,"£70,000",+5.50%,"3,724","4,455",11.05%,3mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Python,14,-2,"£65,000",-7.14%,"3,543","2,942",7.30%,3mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Software Engineering,18,-1,"£70,000",-,"1,952","2,665",6.61%,3mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
SQL,20,-10,"£60,000",-,"2,336","2,509",6.22%,3mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
AWS,21,-8,"£70,000",-,"2,662","2,502",6.20%,3mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Java,67,-28,"£72,500",-9.37%,864,"1,150",2.85%,3mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2,
JavaScript,75,-50,"£60,000",-7.69%,"1,367",993,2.46%,3mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2,
Data Science,140,-28,"£70,000",-2.76%,998,563,1.40%,3mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=3,3,
Databricks,225,-37,"£85,000",+13.33%,335,328,0.81%,3mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=6,6,
Snowflake,323,-47,"£80,000",-5.88%,178,182,0.45%,3mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=9,9,
R,367,-64,"£39,511",-36.27%,395,129,0.32%,3mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=12,12,
AI,,+35,"£70,000",-6.66%,"3,724","10,000",13.82%,6mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,4
Azure,,+1,"£62,500",-3.84%,"3,253","9,174",12.68%,6mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,6
Cybersecurity,,+31,"£50,200",-19.68%,"1,632","8,782",12.14%,6mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,7
Python,,-6,"£67,500",-10.00%,"3,543","5,343",7.38%,6mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,18
SQL,,-13,"£57,500",-4.16%,"2,336","4,942",6.83%,6mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,22
AWS,,-15,"£70,966",-2.11%,"2,662","4,813",6.65%,6mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,25
Software Engineering,,-12,"£70,000",-,"1,952","4,559",6.30%,6mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,28
JavaScript,,-47,"£60,000",-7.69%,"1,367","2,172",3.00%,6mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2,69
Java,,-24,"£75,000",-,864,"2,119",2.93%,6mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2,70
Data Science,,-19,"£70,000",-,998,"1,009",1.39%,6mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=4,4,158
Databricks,,-19,"£85,000",+10.38%,335,590,0.82%,6mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=6,6,253
Snowflake,,+15,"£80,000",-14.66%,178,427,0.59%,6mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=8,8,322
R,,-59,"£30,500",-49.16%,395,286,0.40%,6mo,2026-03-08,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=11,11,420
