description,rank,rank_yoy_change,median_salary,median_salary_yoy_change,live_jobs,historical_vacancies_absolute,historical_vacancies_relative,period,date_scraped,source_url,page
Java,67,-26,"£72,500",-9.37%,833,"1,151",2.81%,3mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1
JavaScript,75,-49,"£60,000",-9.36%,"1,398",996,2.43%,3mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1
Azure,7,0,"£64,500",-0.76%,"3,320","4,984",12.18%,3mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1
AI,5,+27,"£70,000",+5.51%,"3,574","5,169",12.63%,3mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1
Python,18,-6,"£65,000",-9.71%,"3,436","2,932",7.16%,3mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1
AWS,31,-18,"£70,000",-2.77%,"2,616","2,489",6.08%,3mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1
SQL,29,-19,"£60,000",-4.00%,"2,419","2,513",6.14%,3mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1
Databricks,227,-40,"£85,000",+13.33%,361,324,0.79%,3mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1
Snowflake,325,-57,"£80,000",-4.47%,210,184,0.45%,3mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1
R,371,-69,"£39,511",-38.26%,395,132,0.32%,3mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1
